idlineaest,X,Y
460,-58.44217837,-34.77401858
436,-58.40550661,-34.79479888
474,-58.69075647,-34.98650944
470,-58.59469413,-34.91040003
429,-58.39640088,-34.77722599
423,-58.37883995,-34.65366718
401,-58.38056603,-34.62822844
517,-58.79304364,-34.50553062
507,-58.52855667,-34.60327574
514,-58.70343586,-34.55120019
519,-58.88304369,-34.47660614
510,-58.59625492,-34.60503716
509,-58.56452942,-34.6046524
511,-58.63311683,-34.59075564
520,-58.90848783,-34.4687795
512,-58.65721853,-34.57815493
518,-58.83859305,-34.49077322
515,-58.71331312,-34.54416017
516,-58.75007918,-34.51908142
513,-58.68582975,-34.56321963
508,-58.54165537,-34.60378742
502,-58.42647061,-34.57832198
501,-58.37330498,-34.58864318
506,-58.51326076,-34.6026208
505,-58.49464098,-34.60130129
504,-58.46711974,-34.59692527
503,-58.44759901,-34.59288514
221,-58.95415358,-34.60872889
213,-58.66652277,-34.65966894
212,-58.64247424,-34.65219179
209,-58.56509399,-34.64066315
211,-58.61912537,-34.64821625
214,-58.69855091,-34.66550943
210,-58.59221649,-34.64499664
230,-58.75998306,-34.68001226
233,-58.83639374,-34.78263106
216,-58.76208946,-34.65836021
217,-58.78947536,-34.65077732
234,-58.88821585,-34.85580683
215,-58.727723,-34.66453759
208,-58.54214582,-34.64011967
220,-58.89346684,-34.62294759
232,-58.7930126,-34.72448254
218,-58.82828387,-34.63983708
219,-58.85540521,-34.63239392
231,-58.77937118,-34.70603092
222,-58.99982395,-34.59790224
202,-58.40693214,-34.60850244
204,-58.46622658,-34.62786716
201,-58.40684808,-34.60849864
206,-58.50180924,-34.63629913
203,-58.44535505,-34.61989408
207,-58.52688896,-34.6390246
205,-58.48056747,-34.63230963
317,-58.64566904,-34.57328484
318,-58.65980595,-34.56249353
315,-58.63130711,-34.58754455
311,-58.5722968,-34.59005945
321,-58.686129,-34.5434544
319,-58.67139053,-34.55395846
310,-58.55983479,-34.59176409
312,-58.59087314,-34.58906934
322,-58.69517918,-34.53703564
323,-58.70080521,-34.53294072
314,-58.62246701,-34.58782765
308,-58.53580223,-34.59544346
309,-58.54741121,-34.5937236
313,-58.60721148,-34.58849974
316,-58.63991547,-34.58158785
320,-58.67914218,-34.5484949
307,-58.52488895,-34.59720065
301,-58.45573086,-34.58535985
302,-58.46665691,-34.59049415
305,-58.5030747,-34.59446673
