OID_,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta
,1142N, ,Intendente Saguier, ,-34.643258552299997,-58.461524902900003,5, ,0,"1,142"
,1143N, ,Balbastro, ,-34.649265520299998,-58.455640019400001,5, ,0,"1,143"
,1144N, ,Mariano Acosta, ,-34.654438435199999,-58.456492782100000,5, ,0,"1,144"
,1145N, ,Somellera, ,-34.656449351500001,-58.453907455699998,5, ,0,"1,145"
,1146N, ,Ana María Janer, ,-34.659486340000001,-58.450007979100000,5, ,0,"1,146"
,1147N, ,Ntra. Sra. de Fátima, ,-34.660447642199998,-58.448783417599998,5, ,0,"1,147"
,1148N, ,Fernández de la Cruz, ,-34.662234999299997,-58.446598242999997,5, ,0,"1,148"
,1149N, ,Presidente Illia, ,-34.665073163999999,-58.448562240900003,5, ,0,"1,149"
,1150N, ,Parque de la Ciudad, ,-34.669865267299997,-58.455109152299997,5, ,0,"1,150"
,1151N, ,Cecilia Grierson, ,-34.672189283999998,-58.457543347900000,5, ,0,"1,151"
,1152N, ,Escalada, ,-34.674558787800002,-58.460167171700000,5, ,0,"1,152"
,1153N, ,Pola, ,-34.678110629599999,-58.464412206399999,5, ,0,"1,153"
,1154N, ,Ana Díaz, ,-34.680577977799999,-58.466877924800002,5, ,0,"1,154"
,1155N, ,Centro Cívico, ,-34.683539244599999,-58.465152180399997,5, ,0,"1,155"
,1156N, ,Larrazábal, ,-34.680602280199999,-58.465343408999999,5, ,0,"1,156"
,1157N, ,Nicolas Descalzi, ,-34.682798871400003,-58.462343924700001,5, ,0,"1,157"
,1158N, ,Gabino Ezeiza, ,-34.685968042799999,-58.458103459000000,5, ,0,"1,158"
,1159N, ,General Savio, ,-34.689597318300002,-58.460816625800000,5, ,0,"1,159"
,1142S, ,Intendente Saguier, ,-34.643258552299997,-58.461524902900003,5, ,0,"1,142"
,1143S, ,Balbastro, ,-34.649265520299998,-58.455640019400001,5, ,0,"1,143"
,1144S, ,Mariano Acosta, ,-34.654438435199999,-58.456492782100000,5, ,0,"1,144"
,1160E, ,Córdoba, ,-34.598686142200002,-58.403805105000004,5, ,0,"1,160"
,1161E, ,Santa Fe, ,-34.594856588900001,-58.402459654099999,5, ,0,"1,161"
,1162E, ,Las Heras, ,-34.588062575400002,-58.398044794199997,5, ,0,"1,162"
,1160O, ,Córdoba, ,-34.598686142200002,-58.403805105000004,5, ,0,"1,160"
,1161O, ,Santa Fe, ,-34.594856588900001,-58.402459654099999,5, ,0,"1,161"
,1162O, ,Las Heras, ,-34.588062575400002,-58.398044794199997,5, ,0,"1,162"
,1145S, ,Somellera, ,-34.656449351500001,-58.453907455699998,5, ,0,"1,145"
,1146S, ,Ana María Janer, ,-34.659486340000001,-58.450007979100000,5, ,0,"1,146"
,1147S, ,Ntra. Sra. de Fátima, ,-34.660447642199998,-58.448783417599998,5, ,0,"1,147"
,1148S, ,Fernández de la Cruz, ,-34.662234999299997,-58.446598242999997,5, ,0,"1,148"
,1149S, ,Presidente Illia, ,-34.665275116499998,-58.448497772300001,5, ,0,"1,149"
,1150S, ,Parque de la Ciudad, ,-34.669865267299997,-58.455109152299997,5, ,0,"1,150"
,1151S, ,Cecilia Grierson, ,-34.672189283999998,-58.457543347900000,5, ,0,"1,151"
,1152S, ,Escalada, ,-34.674558787800002,-58.460167171700000,5, ,0,"1,152"
,1153S, ,Pola, ,-34.678110629599999,-58.464412206399999,5, ,0,"1,153"
,1154S, ,Ana Díaz, ,-34.680577977799999,-58.466877924800002,5, ,0,"1,154"
,1155S, ,Centro Cívico, ,-34.683539244599999,-58.465152180399997,5, ,0,"1,155"
,1156S, ,Larrazábal, ,-34.680602280199999,-58.465343408999999,5, ,0,"1,156"
,1157S, ,Nicolas Descalzi, ,-34.682798871400003,-58.462343924700001,5, ,0,"1,157"
,1158S, ,Gabino Ezeiza, ,-34.685968042799999,-58.458103459000000,5, ,0,"1,158"
,1159S, ,General Savio, ,-34.689597318300002,-58.460816625800000,5, ,0,"1,159"
,1081N, ,Federico Lacroze, ,-34.587565207899999,-58.454097211399997,4, ,0,"1,081"
,1082N, ,Dorrego, ,-34.591692697399999,-58.447618335500003,4, ,0,"1,082"
,1083N, ,Angel Gallardo, ,-34.602156515799997,-58.431022167099997,4, ,0,"1,083"
,1084N, ,Malabia, ,-34.599048473000003,-58.439674973400003,4, ,0,"1,084"
,1085N, ,Medrano, ,-34.603139517499997,-58.421303182800003,4, ,0,"1,085"
,1086N, ,Carlos Gardel, ,-34.604103190700002,-58.411704897900002,4, ,0,"1,086"
,1087N, ,Pueyrredón, ,-34.604613170599997,-58.405234068699997,4, ,0,"1,087"
,1088N, ,Pasteur, ,-34.604623105700000,-58.399357348599999,4, ,0,"1,088"
,1089N, ,Callao, ,-34.604457527699999,-58.392845615799999,4, ,0,"1,089"
,1090N, ,Uruguay, ,-34.604046341900002,-58.387106359000001,4, ,0,"1,090"
,1091N, ,Carlos Pellegrini, ,-34.603701386099999,-58.381378501599997,4, ,0,"1,091"
,1092N, ,Florida, ,-34.603301786400003,-58.374534845299998,4, ,0,"1,092"
,1093N, ,Leandro N. Alem, ,-34.602967313400001,-58.369956314500001,4, ,0,"1,093"
,1077S, ,Juan Manuel de Rosas, ,-34.574011003999999,-58.486718237500000,4, ,0,"1,077"
,1078S, ,Echeverría, ,-34.577998380399997,-58.480763733200000,4, ,0,"1,078"
,1079S, ,De Los Incas - Parque Chas, ,-34.581941400900000,-58.472949117299997,4, ,0,"1,079"
,1080S, ,Tronador - Villa Ortúzar, ,-34.584319159000003,-58.465676307599999,4, ,0,"1,080"
,1081S, ,Federico Lacroze, ,-34.587565207899999,-58.454097211399997,4, ,0,"1,081"
,1082S, ,Dorrego, ,-34.591692697399999,-58.447618335500003,4, ,0,"1,082"
,1083S, ,Angel Gallardo, ,-34.602156515799997,-58.431022167099997,4, ,0,"1,083"
,1084S, ,Malabia, ,-34.599048473000003,-58.439674973400003,4, ,0,"1,084"
,1085S, ,Medrano, ,-34.603139517499997,-58.421303182800003,4, ,0,"1,085"
,1086S, ,Carlos Gardel, ,-34.604103190700002,-58.411704897900002,4, ,0,"1,086"
,1087S, ,Pueyrredón, ,-34.604613170599997,-58.405234068699997,4, ,0,"1,087"
,1088S, ,Pasteur, ,-34.604623105700000,-58.399357348599999,4, ,0,"1,088"
,1089S, ,Callao, ,-34.604457527699999,-58.392845615799999,4, ,0,"1,089"
,1090S, ,Uruguay, ,-34.604046341900002,-58.387106359000001,4, ,0,"1,090"
,1091S, ,Carlos Pellegrini, ,-34.603701386099999,-58.381378501599997,4, ,0,"1,091"
,1092S, ,Florida, ,-34.603301786400003,-58.374534845299998,4, ,0,"1,092"
,1093S, ,Leandro N. Alem, ,-34.602967313400001,-58.369956314500001,4, ,0,"1,093"
