OID_,ID,NOMBRE,CALLE1,CALLE2,INTERSEC,INAUGURA,LIN_SENT_N,LIN_SENT_S,METROBUS
,147.000000000000000,Pappo Napolitano,AV SAN MARTIN, ,Entre Juan B. Justo y Fragata Sarmiento,si, ,Sentido Este: 24 - 57 - 105 - 135 - 146,Metrobus Av San Martín
,148.000000000000000,Donato Álvarez,AV SAN MARTIN, ,Entre Juan A. García y Adolfo Dickman,si,Sentido Oeste: 24 - 57 - 105 - 109 - 135 - 146,Sentido Este: 24 - 57 - 105 - 109 - 135 - 146,Metrobus Av San Martín
,149.000000000000000,Argentinos Juniors,AV SAN MARTIN, ,Entre Álvarez Jonte y Miguel Ángel,si,Sentido Oeste: 24 - 57 - 105 - 146,Sentido Este: 24 - 57 - 105 - 146,Metrobus Av San Martín
,150.000000000000000,Empedrado,AV SAN MARTIN, ,Entre Basilio Cittadini y Gral Rivas,si,Sentido Oeste: 47 - 57 - 78 - 105 - 146,Sentido Este: 47 - 57 - 78 - 105 - 146,Metrobus Av San Martín
,151.000000000000000,Agronomía,AV SAN MARTIN, ,Entre Gral Rivas y Melincué,si,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín
,152.000000000000000,2 de Abril,AV SAN MARTIN, ,Entre Melincué y est. Plurinacional de Bolivia,si,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín
,153.000000000000000,Comunicaciones,AV SAN MARTIN, ,Entre Tinogasta y Nazca,si,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín
,154.000000000000000,Roffo,AV SAN MARTIN, ,Entre Nazca y Beiró,si,Sentido Oeste: 57 - 78 - 105 - 146,Sentido Este: 57 - 78 - 105 - 146,Metrobus Av San Martín
,155.000000000000000,Solano López,AV SAN MARTIN, ,Entre Navarro y Pedro Morán,si,Sentido Oeste: 57 - 78,Sentido Este: 57 - 78 - 105,Metrobus Av San Martín
,156.000000000000000,Cubas,AV SAN MARTIN, ,Entre Habana y Vallejos,si,Sentido Oeste: 57 - 78 - 123 - 176,Sentido Este: 57 - 78,Metrobus Av San Martín
